ds,y
2024-02-01,55
2024-02-02,39
2024-02-03,53
2024-02-04,43
2024-02-05,56
2024-02-06,41
2024-02-07,55
2024-02-08,60
2024-02-09,41
2024-02-10,59
2024-02-11,58
2024-02-12,35
2024-02-13,56
2024-02-14,49
2024-02-15,62
2024-02-16,43
2024-02-17,60
2024-02-18,61
2024-02-19,47
2024-02-20,59
2024-02-21,60
2024-02-22,51
2024-02-23,65
2024-02-24,46
2024-02-25,56
2024-02-26,61
2024-02-27,60
2024-02-28,36
2024-02-29,49
2024-03-01,67
2024-03-02,41
2024-03-03,63
2024-03-04,65
2024-03-05,53
2024-03-06,51
2024-03-07,63
2024-03-08,54
2024-03-09,69
2024-03-10,39
2024-03-11,45
2024-03-12,51
2024-03-13,64
2024-03-14,37
2024-03-15,49
2024-03-16,71
2024-03-17,54
2024-03-18,61
2024-03-19,61
2024-03-20,35
2024-03-21,68
2024-03-22,72
2024-03-23,54
2024-03-24,61
2024-03-25,51
2024-03-26,43
2024-03-27,43
2024-03-28,47
2024-03-29,53
2024-03-30,75
2024-03-31,54
